STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
TAMIL NADU,2006,Other Causes (Please Specify),39,135,215,244,131,764,17,139,147,107,50,460,1224
TAMIL NADU,2006,Causes Not Known,14,102,220,265,155,756,11,39,70,41,32,193,949
TAMIL NADU,2006,Total,749,3796,6260,4397,1979,17181,323,1548,1610,1182,490,5153,22334
TAMIL NADU,2006,Total Collapse,30,46,78,45,15,214,11,26,19,18,12,86,300
TAMIL NADU,2006,Total Drowning,137,295,277,189,85,983,43,81,64,36,30,254,1237
TAMIL NADU,2006,Total Explosion,0,3,4,2,0,9,0,1,2,0,0,3,12
TAMIL NADU,2006,Total Falls,26,110,143,95,34,408,6,12,20,12,10,60,468
TAMIL NADU,2006,Total Fire,14,139,179,94,42,468,52,511,398,177,80,1218,1686
TAMIL NADU,2006,Total Sudden Deaths,18,75,211,274,127,705,10,31,35,39,23,138,843
TAMIL NADU,2006,Total Poisoning,65,377,522,393,122,1479,43,271,324,224,75,937,2416
TAMIL NADU,2006,Total Traffic Accidents,381,2353,4243,2689,1247,10913,116,410,495,509,163,1693,12606
TAMIL NADU,2007,Air-Crash,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2007,Collapse of Structure(House),5,5,26,2,2,40,2,12,4,2,2,22,62
TAMIL NADU,2007,Collapse of Structure(Building),0,3,10,2,0,15,0,5,3,1,0,9,24
TAMIL NADU,2007,Collapse of Structure(Dam),0,3,0,0,0,3,0,0,0,0,3,3,6
TAMIL NADU,2007,Collapse of Structure(Bridge),0,0,2,90,0,92,0,1,40,0,0,41,133
TAMIL NADU,2007,Collapse of Structure(Others),8,12,38,19,2,79,6,10,0,5,2,23,102
TAMIL NADU,2007,Drowning (Boat Capsize),5,28,1,15,2,51,0,2,1,1,2,6,57
TAMIL NADU,2007,Drowning(Other Cases),141,292,290,189,89,1001,50,83,74,41,34,282,1283
TAMIL NADU,2007,Electrocution,14,112,114,88,12,340,7,29,22,7,8,73,413
TAMIL NADU,2007,Explosion (Bomb explosion),0,0,9,0,0,9,0,0,0,0,0,0,9
TAMIL NADU,2007,"Explosion(Other explosion like Boilers,",0,0,0,1,0,1,0,1,2,0,0,3,4
TAMIL NADU,2007,Falls (Fall from Height),24,106,142,97,34,403,5,13,18,15,10,61,464
TAMIL NADU,2007,Fall into Pit/Manhole,4,15,13,0,2,34,2,1,4,0,0,7,41
TAMIL NADU,2007,Factory/Machine Accidents,0,20,11,15,2,48,0,0,4,3,1,8,56
TAMIL NADU,2007,Fire (Fireworks/Crackers),0,9,6,4,1,20,0,3,3,2,1,9,29
TAMIL NADU,2007,Fire (Short-Circuit),0,8,7,2,2,19,2,6,3,1,0,12,31
TAMIL NADU,2007,Gas Cylinder/Stove Burst,2,15,38,15,6,76,8,285,161,41,11,506,582
TAMIL NADU,2007,Other Fire Accidents,29,110,140,73,33,385,49,314,260,152,79,854,1239
TAMIL NADU,2007,Fire-Arms,0,7,25,7,2,41,5,12,10,0,0,27,68
TAMIL NADU,2007,Sudden Deaths (Heart Attacks),0,0,196,290,115,601,0,22,35,45,26,128,729
TAMIL NADU,2007,Epileptic Fits/Giddiness,0,6,20,15,25,66,2,5,2,5,4,18,84
TAMIL NADU,2007,Abortions/Child Birth,0,0,0,0,0,0,1,4,1,0,0,6,6
TAMIL NADU,2007,Influence of Alcohol,0,13,39,30,6,88,0,0,3,1,1,5,93
TAMIL NADU,2007,Killed by animals,4,5,18,26,4,57,0,3,1,3,0,7,64
TAMIL NADU,2007,Mines or quary disaster,0,3,3,2,1,9,0,0,0,0,0,0,9
TAMIL NADU,2007,Food Poisioning/Accidental Intake of Ins,16,58,90,61,30,255,19,46,58,28,7,158,413
TAMIL NADU,2007,Spurious/poisionous liquor,0,30,43,28,6,107,4,9,9,6,0,28,135
TAMIL NADU,2007,Leakage of poisinous gases Etc.,0,7,5,0,0,12,0,3,2,3,1,9,21
TAMIL NADU,2007,Snake Bite/Animal Bite,39,101,130,82,18,370,25,67,73,36,8,209,579
TAMIL NADU,2007,Other,19,246,274,226,74,839,16,270,182,139,52,659,1498
TAMIL NADU,2007,Stampede,0,0,1,0,0,1,0,0,0,1,0,1,2
TAMIL NADU,2007,Suffocation,1,6,8,5,0,20,0,1,3,3,3,10,30
TAMIL NADU,2007,Traffic Accidents (Road Accidents),222,1957,3240,3385,1306,10110,113,484,555,599,175,1926,12036
TAMIL NADU,2007,Traffic Accidents (Rail-Road Accidents),0,12,5,4,2,23,0,0,0,0,0,0,23
TAMIL NADU,2007,Other Railway Accidents,14,358,372,359,218,1321,4,53,75,64,55,251,1572
TAMIL NADU,2007,Other Causes (Please Specify),36,226,205,228,123,818,20,157,166,121,57,521,1339
TAMIL NADU,2007,Causes Not Known,14,135,230,272,158,809,12,45,80,46,36,219,1028
TAMIL NADU,2007,Total,597,3908,5751,5632,2275,18163,352,1946,1854,1371,578,6101,24264
TAMIL NADU,2007,Total Collapse,13,23,76,113,4,229,8,28,47,8,7,98,327
TAMIL NADU,2007,Total Drowning,146,320,291,204,91,1052,50,85,75,42,36,288,1340
TAMIL NADU,2007,Total Explosion,0,0,9,1,0,10,0,1,2,0,0,3,13
TAMIL NADU,2007,Total Falls,28,121,155,97,36,437,7,14,22,15,10,68,505
TAMIL NADU,2007,Total Fire,31,142,191,94,42,500,59,608,427,196,91,1381,1881
TAMIL NADU,2007,Total Sudden Deaths,0,19,255,335,146,755,3,31,41,51,31,157,912
TAMIL NADU,2007,Total Poisoning,74,442,542,397,128,1583,64,395,324,212,68,1063,2646
TAMIL NADU,2007,Total Traffic Accidents,236,2327,3617,3748,1526,11454,117,537,630,663,230,2177,13631
TAMIL NADU,2008,Air-Crash,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2008,Collapse of Structure(House),5,5,36,1,2,49,2,12,9,7,2,32,81
TAMIL NADU,2008,Collapse of Structure(Building),0,3,15,4,0,22,0,5,5,3,0,13,35
TAMIL NADU,2008,Collapse of Structure(Dam),0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2008,Collapse of Structure(Bridge),0,0,2,16,0,18,0,1,24,0,0,25,43
TAMIL NADU,2008,Collapse of Structure(Others),8,12,42,19,2,83,6,10,10,7,2,35,118
TAMIL NADU,2008,Drowning (Boat Capsize),5,27,1,10,2,45,0,2,1,1,2,6,51
TAMIL NADU,2008,Drowning(Other Cases),139,282,286,189,89,985,50,122,76,41,34,323,1308
TAMIL NADU,2008,Electrocution,14,97,96,72,6,285,7,25,22,7,8,69,354
TAMIL NADU,2008,Explosion (Bomb explosion),0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2008,"Explosion(Other explosion like Boilers,",0,3,2,1,0,6,0,1,2,0,0,3,9
TAMIL NADU,2008,Falls (Fall from Height),24,96,132,20,34,306,3,2,7,0,0,12,318
TAMIL NADU,2008,Fall into Pit/Manhole,0,4,3,5,2,14,2,1,4,0,0,7,21
TAMIL NADU,2008,Factory/Machine Accidents,0,11,17,16,2,46,0,0,2,0,0,2,48
TAMIL NADU,2008,Fire (Fireworks/Crackers),0,5,6,4,1,16,0,3,5,2,1,11,27
TAMIL NADU,2008,Fire (Short-Circuit),0,8,7,2,2,19,2,6,3,1,0,12,31
TAMIL NADU,2008,Gas Cylinder/Stove Burst,2,15,37,15,6,75,8,275,161,41,11,496,571
TAMIL NADU,2008,Other Fire Accidents,29,125,155,83,33,425,52,320,262,152,79,865,1290
TAMIL NADU,2008,Fire-Arms,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2008,Sudden Deaths (Heart Attacks),0,0,180,190,115,485,0,0,20,5,0,25,510
TAMIL NADU,2008,Epileptic Fits/Giddiness,0,0,10,20,25,55,0,4,0,2,4,10,65
TAMIL NADU,2008,Abortions/Child Birth,0,0,0,0,0,0,0,5,1,0,0,6,6
TAMIL NADU,2008,Influence of Alcohol,0,13,29,18,6,66,0,0,0,0,0,0,66
TAMIL NADU,2008,Killed by animals,4,5,8,21,4,42,0,3,0,2,0,5,47
TAMIL NADU,2008,Mines or quary disaster,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2008,Food Poisioning/Accidental Intake of Ins,6,53,85,61,30,235,0,34,0,0,0,34,269
TAMIL NADU,2008,Spurious/poisionous liquor,0,0,60,28,6,94,0,7,0,0,0,7,101
TAMIL NADU,2008,Leakage of poisinous gases Etc.,0,7,5,0,0,12,0,0,3,0,0,3,15
TAMIL NADU,2008,Snake Bite/Animal Bite,9,85,125,82,18,319,0,12,85,3,0,100,419
TAMIL NADU,2008,Other,27,246,274,226,74,847,15,155,12,39,19,240,1087
TAMIL NADU,2008,Stampede,0,0,1,0,0,1,0,0,0,1,0,1,2
TAMIL NADU,2008,Suffocation,1,6,8,5,0,20,0,1,3,3,3,10,30
TAMIL NADU,2008,Traffic Accidents (Road Accidents),391,3011,4029,2028,545,10004,261,561,727,1078,153,2780,12784
TAMIL NADU,2008,Traffic Accidents (Rail-Road Accidents),0,4,5,4,2,15,0,6,0,0,0,6,21
TAMIL NADU,2008,Other Railway Accidents,14,389,389,390,218,1400,5,58,80,64,55,262,1662
TAMIL NADU,2008,Other Causes (Please Specify),36,246,215,228,123,848,45,287,175,121,57,685,1533
TAMIL NADU,2008,Causes Not Known,14,35,145,273,158,625,12,15,10,46,36,119,744
TAMIL NADU,2008,Total,728,4793,6405,4031,1505,17462,470,1933,1709,1626,466,6204,23666
TAMIL NADU,2008,Total Collapse,13,20,95,40,4,172,8,28,48,17,4,105,277
TAMIL NADU,2008,Total Drowning,144,309,287,199,91,1030,50,124,77,42,36,329,1359
TAMIL NADU,2008,Total Explosion,0,3,2,1,0,6,0,1,2,0,0,3,9
TAMIL NADU,2008,Total Falls,24,100,135,25,36,320,5,3,11,0,0,19,339
TAMIL NADU,2008,Total Fire,31,153,205,104,42,535,62,604,431,196,91,1384,1919
TAMIL NADU,2008,Total Sudden Deaths,0,13,219,228,146,606,0,9,21,7,4,41,647
TAMIL NADU,2008,Total Poisoning,42,391,549,397,128,1507,15,208,100,42,19,384,1891
TAMIL NADU,2008,Total Traffic Accidents,405,3404,4423,2422,765,11419,266,625,807,1142,208,3048,14467
TAMIL NADU,2009,Air-Crash,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2009,Collapse of Structure(House),9,8,9,14,11,51,5,11,12,7,9,44,95
TAMIL NADU,2009,Collapse of Structure(Building),3,6,10,7,5,31,0,0,4,3,0,7,38
TAMIL NADU,2009,Collapse of Structure(Dam),0,3,2,0,0,5,0,1,0,1,0,2,7
TAMIL NADU,2009,Collapse of Structure(Bridge),0,1,0,0,0,1,0,0,0,0,0,0,1
TAMIL NADU,2009,Collapse of Structure(Others),1,20,21,19,5,66,2,4,3,4,6,19,85
TAMIL NADU,2009,Drowning (Boat Capsize),0,4,11,11,0,26,0,1,1,0,0,2,28
TAMIL NADU,2009,Drowning(Other Cases),138,441,323,225,111,1238,50,96,77,59,54,336,1574
TAMIL NADU,2009,Electrocution,12,147,148,85,14,406,6,19,27,24,8,84,490
TAMIL NADU,2009,Explosion (Bomb explosion),4,1,5,2,3,15,0,1,0,0,1,2,17
TAMIL NADU,2009,"Explosion(Other explosion like Boilers,",1,0,1,5,6,13,0,0,0,0,0,0,13
TAMIL NADU,2009,Falls (Fall from Height),0,1,1,0,0,2,0,0,1,0,1,2,4
TAMIL NADU,2009,Fall into Pit/Manhole,6,9,17,14,8,54,4,0,2,5,2,13,67
TAMIL NADU,2009,Factory/Machine Accidents,1,3,29,15,3,51,0,0,3,3,1,7,58
TAMIL NADU,2009,Fire (Fireworks/Crackers),0,18,24,17,0,59,7,14,36,8,14,79,138
TAMIL NADU,2009,Fire (Short-Circuit),3,6,9,4,4,26,1,3,8,12,7,31,57
TAMIL NADU,2009,Gas Cylinder/Stove Burst,9,51,81,22,6,169,27,262,184,88,26,587,756
TAMIL NADU,2009,Other Fire Accidents,19,145,230,115,44,553,46,417,350,119,79,1011,1564
TAMIL NADU,2009,Fire-Arms,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2009,Sudden Deaths (Heart Attacks),6,76,281,389,289,1041,2,23,34,64,62,185,1226
TAMIL NADU,2009,Epileptic Fits/Giddiness,4,20,47,85,64,220,2,6,11,9,34,62,282
TAMIL NADU,2009,Abortions/Child Birth,0,0,0,0,0,0,0,12,9,4,3,28,28
TAMIL NADU,2009,Influence of Alcohol,0,24,75,74,13,186,0,0,6,4,3,13,199
TAMIL NADU,2009,Killed by animals,2,10,18,20,12,62,0,1,3,2,3,9,71
TAMIL NADU,2009,Mines or quary disaster,0,3,3,2,0,8,0,6,9,4,3,22,30
TAMIL NADU,2009,Food Poisioning/Accidental Intake of Ins,5,46,66,61,27,205,2,32,31,20,4,89,294
TAMIL NADU,2009,Spurious/poisionous liquor,3,73,108,80,27,291,1,70,47,14,6,138,429
TAMIL NADU,2009,Leakage of poisinous gases Etc.,0,7,2,8,0,17,0,0,1,0,0,1,18
TAMIL NADU,2009,Snake Bite/Animal Bite,35,63,107,123,66,394,13,41,87,82,27,250,644
TAMIL NADU,2009,Other,25,238,290,259,119,931,14,150,164,121,56,505,1436
TAMIL NADU,2009,Stampede,0,5,6,3,1,15,0,2,2,1,1,6,21
TAMIL NADU,2009,Suffocation,0,2,10,10,10,32,0,14,2,1,0,17,49
TAMIL NADU,2009,Traffic Accidents (Road Accidents),322,3346,4183,2759,1172,11782,131,512,594,446,281,1964,13746
TAMIL NADU,2009,Traffic Accidents (Rail-Road Accidents),0,2,5,0,2,9,0,1,1,0,0,2,11
TAMIL NADU,2009,Other Railway Accidents,18,349,441,412,276,1496,13,64,95,76,85,333,1829
TAMIL NADU,2009,Other Causes (Please Specify),64,289,483,428,221,1485,11,101,107,79,26,324,1809
TAMIL NADU,2009,Causes Not Known,13,211,446,324,154,1148,59,122,182,123,79,565,1713
TAMIL NADU,2009,Total,703,5628,7492,5592,2673,22088,396,1986,2093,1383,881,6739,28827
TAMIL NADU,2009,Total Collapse,13,38,42,40,21,154,7,16,19,15,15,72,226
TAMIL NADU,2009,Total Drowning,138,445,334,236,111,1264,50,97,78,59,54,338,1602
TAMIL NADU,2009,Total Explosion,5,1,6,7,9,28,0,1,0,0,1,2,30
TAMIL NADU,2009,Total Falls,6,10,18,14,8,56,4,0,3,5,3,15,71
TAMIL NADU,2009,Total Fire,31,220,344,158,54,807,81,696,578,227,126,1708,2515
TAMIL NADU,2009,Total Sudden Deaths,10,120,403,548,366,1447,4,41,60,81,102,288,1735
TAMIL NADU,2009,Total Poisoning,68,427,573,531,239,1838,30,293,330,237,93,983,2821
TAMIL NADU,2009,Total Traffic Accidents,340,3697,4629,3171,1450,13287,144,577,690,522,366,2299,15586
TAMIL NADU,2010,Air-Crash,0,0,0,3,5,8,0,0,0,1,1,2,10
TAMIL NADU,2010,Collapse of Structure(House),6,3,10,11,6,36,2,1,10,7,6,26,62
TAMIL NADU,2010,Collapse of Structure(Building),1,4,18,7,2,32,0,0,3,4,0,7,39
TAMIL NADU,2010,Collapse of Structure(Dam),0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2010,Collapse of Structure(Bridge),0,0,2,0,0,2,0,0,0,0,0,0,2
TAMIL NADU,2010,Collapse of Structure(Others),2,9,23,14,10,58,1,1,11,9,4,26,84
TAMIL NADU,2010,Drowning (Boat Capsize),0,5,9,12,0,26,1,3,7,1,0,12,38
TAMIL NADU,2010,Drowning(Other Cases),171,389,332,229,128,1249,43,98,95,56,34,326,1575
TAMIL NADU,2010,Electrocution,29,125,133,97,30,414,6,24,28,9,11,78,492
TAMIL NADU,2010,Explosion (Bomb explosion),0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2010,"Explosion(Other explosion like Boilers,",0,5,4,1,0,10,0,0,0,0,0,0,10
TAMIL NADU,2010,Falls (Fall from Height),33,116,147,128,45,469,5,22,18,19,18,82,551
TAMIL NADU,2010,Fall into Pit/Manhole,4,9,23,17,20,73,1,3,2,0,3,9,82
TAMIL NADU,2010,Factory/Machine Accidents,1,11,25,14,8,59,0,2,1,0,1,4,63
TAMIL NADU,2010,Fire (Fireworks/Crackers),0,3,5,1,1,10,0,7,6,0,0,13,23
TAMIL NADU,2010,Fire (Short-Circuit),2,34,38,7,3,84,0,7,10,1,1,19,103
TAMIL NADU,2010,Gas Cylinder/Stove Burst,4,48,67,45,16,180,16,255,175,80,40,566,746
TAMIL NADU,2010,Other Fire Accidents,25,175,197,183,63,643,29,468,391,103,64,1055,1698
TAMIL NADU,2010,Fire-Arms,3,15,9,10,9,46,1,15,7,0,7,30,76
TAMIL NADU,2010,Sudden Deaths (Heart Attacks),3,73,283,542,387,1288,7,15,29,84,93,228,1516
TAMIL NADU,2010,Epileptic Fits/Giddiness,3,23,47,49,51,173,6,7,16,17,17,63,236
TAMIL NADU,2010,Abortions/Child Birth,0,0,0,0,0,0,0,6,4,0,0,10,10
TAMIL NADU,2010,Influence of Alcohol,1,33,111,114,25,284,0,1,2,1,1,5,289
TAMIL NADU,2010,Killed by animals,1,3,11,8,5,28,0,0,1,1,3,5,33
TAMIL NADU,2010,Mines or quary disaster,0,4,1,2,0,7,0,0,0,0,0,0,7
TAMIL NADU,2010,Food Poisioning/Accidental Intake of Ins,10,141,148,117,66,482,2,90,59,45,22,218,700
TAMIL NADU,2010,Spurious/poisionous liquor,0,13,63,34,5,115,0,7,39,19,5,70,185
TAMIL NADU,2010,Leakage of poisinous gases Etc.,0,1,0,1,0,2,0,0,0,0,0,0,2
TAMIL NADU,2010,Snake Bite/Animal Bite,20,82,136,141,64,443,19,50,85,74,40,268,711
TAMIL NADU,2010,Other,13,288,288,227,112,928,11,136,138,73,36,394,1322
TAMIL NADU,2010,Stampede,0,2,10,2,7,21,0,0,2,1,0,3,24
TAMIL NADU,2010,Suffocation,1,1,5,4,0,11,0,0,3,3,0,6,17
TAMIL NADU,2010,Traffic Accidents (Road Accidents),313,3417,4934,2937,1354,12955,131,473,976,550,324,2454,15409
TAMIL NADU,2010,Traffic Accidents (Rail-Road Accidents),0,7,7,2,1,17,0,1,1,0,0,2,19
TAMIL NADU,2010,Other Railway Accidents,7,382,523,343,249,1504,2,44,79,85,116,326,1830
TAMIL NADU,2010,Other Causes (Please Specify),30,400,684,556,304,1974,39,257,256,148,71,771,2745
TAMIL NADU,2010,Causes Not Known,12,107,193,220,140,672,7,26,64,38,41,176,848
TAMIL NADU,2010,Total,695,5928,8486,6078,3116,24303,329,2019,2518,1429,959,7254,31557
TAMIL NADU,2010,Total Collapse,9,16,53,32,18,128,3,2,24,20,10,59,187
TAMIL NADU,2010,Total Drowning,171,394,341,241,128,1275,44,101,102,57,34,338,1613
TAMIL NADU,2010,Total Explosion,0,5,4,1,0,10,0,0,0,0,0,0,10
TAMIL NADU,2010,Total Falls,37,125,170,145,65,542,6,25,20,19,21,91,633
TAMIL NADU,2010,Total Fire,31,260,307,236,83,917,45,737,582,184,105,1653,2570
TAMIL NADU,2010,Total Sudden Deaths,7,129,441,705,463,1745,13,29,51,102,111,306,2051
TAMIL NADU,2010,Total Poisoning,43,525,635,520,247,1970,32,283,321,211,103,950,2920
TAMIL NADU,2010,Total Traffic Accidents,320,3806,5464,3282,1604,14476,133,518,1056,635,440,2782,17258
TAMIL NADU,2011,Air-Crash,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2011,Collapse of Structure(House),5,4,13,8,14,44,3,3,8,9,5,28,72
TAMIL NADU,2011,Collapse of Structure(Building),1,15,16,13,4,49,2,2,4,4,0,12,61
TAMIL NADU,2011,Collapse of Structure(Dam),0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2011,Collapse of Structure(Bridge),0,0,5,2,1,8,0,0,0,0,0,0,8
TAMIL NADU,2011,Collapse of Structure(Others),5,53,63,49,28,198,8,50,22,16,2,98,296
TAMIL NADU,2011,Drowning (Boat Capsize),8,23,25,16,5,77,14,6,8,5,6,39,116
TAMIL NADU,2011,Drowning(Other Cases),160,463,401,294,162,1480,47,146,51,68,45,357,1837
TAMIL NADU,2011,Electrocution,10,139,172,102,36,459,3,20,16,10,6,55,514
TAMIL NADU,2011,Explosion (Bomb explosion),0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2011,"Explosion(Other explosion like Boilers,",1,14,18,5,1,39,1,1,3,0,0,5,44
TAMIL NADU,2011,Falls (Fall from Height),24,151,172,150,73,570,9,16,24,14,7,70,640
TAMIL NADU,2011,Fall into Pit/Manhole,5,17,27,32,7,88,1,2,2,2,1,8,96
TAMIL NADU,2011,Factory/Machine Accidents,0,17,20,11,3,51,0,2,1,0,0,3,54
TAMIL NADU,2011,Fire (Fireworks/Crackers),0,2,9,8,2,21,1,4,14,1,2,22,43
TAMIL NADU,2011,Fire (Short-Circuit),2,19,26,12,0,59,1,7,5,8,2,23,82
TAMIL NADU,2011,Gas Cylinder/Stove Burst,3,34,41,16,11,105,13,215,176,43,34,481,586
TAMIL NADU,2011,Other Fire Accidents,21,164,215,131,35,566,45,357,326,270,93,1091,1657
TAMIL NADU,2011,Fire-Arms,0,1,0,0,0,1,0,0,0,0,0,0,1
TAMIL NADU,2011,Sudden Deaths (Heart Attacks),1,52,218,382,187,840,0,11,26,50,44,131,971
TAMIL NADU,2011,Epileptic Fits/Giddiness,2,47,135,201,154,539,2,14,14,35,29,94,633
TAMIL NADU,2011,Abortions/Child Birth,0,0,0,0,0,0,4,7,8,2,8,29,29
TAMIL NADU,2011,Influence of Alcohol,1,14,40,47,29,131,0,2,11,6,0,19,150
TAMIL NADU,2011,Killed by animals,0,32,78,127,35,272,0,2,4,24,5,35,307
TAMIL NADU,2011,Mines or quary disaster,0,2,3,1,0,6,0,0,0,0,0,0,6
TAMIL NADU,2011,Food Poisioning/Accidental Intake of Ins,3,33,41,36,15,128,1,15,14,7,3,40,168
TAMIL NADU,2011,Spurious/poisionous liquor,2,45,105,105,48,305,3,40,80,39,14,176,481
TAMIL NADU,2011,Leakage of poisinous gases Etc.,0,1,13,4,0,18,0,0,3,2,0,5,23
TAMIL NADU,2011,Snake Bite/Animal Bite,23,55,99,108,66,351,14,32,59,53,26,184,535
TAMIL NADU,2011,Other,17,260,290,305,111,983,17,188,133,99,47,484,1467
TAMIL NADU,2011,Stampede,0,13,31,34,6,84,0,5,8,9,3,25,109
TAMIL NADU,2011,Suffocation,3,2,2,2,3,12,1,0,0,0,0,1,13
TAMIL NADU,2011,Traffic Accidents (Road Accidents),283,3410,4360,3286,1816,13155,114,353,707,634,459,2267,15422
TAMIL NADU,2011,Traffic Accidents (Rail-Road Accidents),0,8,9,5,3,25,1,0,1,0,0,2,27
TAMIL NADU,2011,Other Railway Accidents,19,376,486,423,259,1563,12,39,58,71,95,275,1838
TAMIL NADU,2011,Other Causes (Please Specify),37,372,642,519,320,1890,27,264,236,185,132,844,2734
TAMIL NADU,2011,Causes Not Known,41,308,509,588,308,1754,17,69,117,85,44,332,2086
TAMIL NADU,2011,Total,677,6146,8284,7022,3742,25871,361,1872,2139,1751,1112,7235,33106
TAMIL NADU,2011,Total Collapse,11,72,97,72,47,299,13,55,34,29,7,138,437
TAMIL NADU,2011,Total Drowning,168,486,426,310,167,1557,61,152,59,73,51,396,1953
TAMIL NADU,2011,Total Explosion,1,14,18,5,1,39,1,1,3,0,0,5,44
TAMIL NADU,2011,Total Falls,29,168,199,182,80,658,10,18,26,16,8,78,736
TAMIL NADU,2011,Total Fire,26,219,291,167,48,751,60,583,521,322,131,1617,2368
TAMIL NADU,2011,Total Sudden Deaths,4,113,393,630,370,1510,6,34,59,93,81,273,1783
TAMIL NADU,2011,Total Poisoning,45,394,548,558,240,1785,35,275,289,200,90,889,2674
TAMIL NADU,2011,Total Traffic Accidents,302,3794,4855,3714,2078,14743,127,392,766,705,554,2544,17287
TAMIL NADU,2012,Air-Crash,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2012,Collapse of Structure(House),4,3,12,10,3,32,2,2,2,4,10,20,52
TAMIL NADU,2012,Collapse of Structure(Building),0,9,9,7,2,27,0,2,1,2,0,5,32
TAMIL NADU,2012,Collapse of Structure(Dam),0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2012,Collapse of Structure(Bridge),0,0,0,0,1,1,0,0,0,0,0,0,1
TAMIL NADU,2012,Collapse of Structure(Others),14,30,19,19,12,94,5,13,8,11,3,40,134
TAMIL NADU,2012,Drowning (Boat Capsize),0,4,4,10,0,18,0,0,0,0,0,0,18
TAMIL NADU,2012,Drowning(Other Cases),182,433,396,275,140,1426,58,105,108,73,59,403,1829
TAMIL NADU,2012,Electrocution,21,132,160,92,40,445,9,12,18,17,5,61,506
TAMIL NADU,2012,Explosion (Bomb explosion),0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2012,"Explosion(Other explosion like Boilers,",1,3,1,4,0,9,2,0,0,1,0,3,12
TAMIL NADU,2012,Falls (Fall from Height),15,106,148,167,41,477,7,12,20,10,12,61,538
TAMIL NADU,2012,Fall into Pit/Manhole,10,9,33,29,13,94,3,3,4,7,4,21,115
TAMIL NADU,2012,Factory/Machine Accidents,0,13,20,11,0,44,0,1,1,1,0,3,47
TAMIL NADU,2012,Fire (Fireworks/Crackers),1,7,15,22,3,48,0,2,9,5,1,17,65
TAMIL NADU,2012,Fire (Short-Circuit),1,7,17,10,2,37,0,3,3,3,1,10,47
TAMIL NADU,2012,Gas Cylinder/Stove Burst,2,16,28,27,10,83,11,161,164,62,21,419,502
TAMIL NADU,2012,Other Fire Accidents,17,123,178,96,56,470,38,305,276,107,105,831,1301
TAMIL NADU,2012,Fire-Arms,0,0,0,1,0,1,1,3,0,0,0,4,5
TAMIL NADU,2012,Sudden Deaths (Heart Attacks),3,62,309,458,301,1133,0,10,31,58,37,136,1269
TAMIL NADU,2012,Epileptic Fits/Giddiness,2,21,48,76,56,203,1,8,19,17,16,61,264
TAMIL NADU,2012,Abortions/Child Birth,0,0,0,0,0,0,4,13,9,3,1,30,30
TAMIL NADU,2012,Influence of Alcohol,0,10,86,76,21,193,0,1,3,3,2,9,202
TAMIL NADU,2012,Killed by animals,1,1,11,12,9,34,0,0,2,2,2,6,40
TAMIL NADU,2012,Mines or quary disaster,0,1,1,1,0,3,0,0,0,0,0,0,3
TAMIL NADU,2012,Food Poisioning/Accidental Intake of Ins,5,31,52,51,35,174,14,24,12,12,1,63,237
TAMIL NADU,2012,Spurious/poisionous liquor,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2012,Leakage of poisinous gases Etc.,0,1,7,3,2,13,0,2,1,2,0,5,18
TAMIL NADU,2012,Snake Bite/Animal Bite,38,64,120,136,55,413,14,43,78,72,36,243,656
TAMIL NADU,2012,Other,28,308,439,374,214,1363,26,207,199,135,66,633,1996
TAMIL NADU,2012,Stampede,0,2,7,8,3,20,0,0,0,2,0,2,22
TAMIL NADU,2012,Suffocation,4,0,1,4,4,13,1,0,0,1,0,2,15
TAMIL NADU,2012,Traffic Accidents (Road Accidents),406,3517,4667,3347,1560,13497,131,428,673,694,752,2678,16175
TAMIL NADU,2012,Traffic Accidents (Rail-Road Accidents),0,4,6,4,0,14,0,0,1,0,1,2,16
TAMIL NADU,2012,Other Railway Accidents,13,448,556,472,313,1802,10,32,69,82,114,307,2109
TAMIL NADU,2012,Other Causes (Please Specify),45,432,623,562,362,2024,43,333,231,202,154,963,2987
TAMIL NADU,2012,Causes Not Known,7,97,259,213,159,735,7,32,272,78,38,427,1162
